ed0,fat0,ed60,fat60,ed90,fat90
32.22222195,24199.28957,31.90476167,74875.44673,33.30158981,105053.38
32.28571788,41281.14103,31.90476167,143202.8471,44.73015985,119288.2562
32.28571788,43558.70819,31.96825761,134661.9268,44.60317283,115587.1905
42.25396871,52384.31624,41.93650843,138078.283,44.73015985,110747.3305
42.25396871,52384.31624,41.99999952,133807.8256,47.07936398,94234.87622
42.31745979,75729.53713,41.99999952,122989.3218,47.01587289,82562.2712
50.1269846,69750.88261,49.93650649,116725.9741,46.95238181,80000
49.99999758,57508.89123,49.99999758,101067.6103,50.06349351,93096.08178
53.42856956,50676.15716,62.06348818,129252.6695,49.93650649,97935.94186
53.49206065,48113.85338,61.93650601,112455.5113,55.26984015,95088.96662
53.36507847,35587.19054,61.93650601,80854.06868,55.26984015,77153.02476
42.25396871,50106.75994,49.93650649,120000.9741,33.17460279,109323.8428
